      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 4.295e+05,  8.225e-01, -2.556e-01, -8.315e-01, -2.102e-01, -1.708e+01,  4.537e-02, -1.708e+01, -4.428e-17,  2.609e+02,  1.185e+01,  3.820e+02, -1.709e+01,  2.263e+00,  5.621e-02,  2.422e+00, -5.691e-01,  8.663e-03, -1.779e-04,  7.665e-03, -1.801e-03,
 4.362e+05, -1.954e+00, -2.064e+00, -1.285e+00, -1.253e+00, -1.631e+01,  8.111e-01, -1.793e+01,  6.733e-17,  2.350e+02,  2.475e+02,  2.019e+02, -2.127e+02,  2.614e+00,  1.072e+00, -2.348e-01, -2.244e+00,  7.551e-03, -3.391e-03, -7.432e-04, -7.100e-03,
 4.430e+05,  1.155e-01,  3.111e+00, -1.155e-01,  3.112e+00, -1.704e+01,  8.486e-04, -1.704e+01,  5.483e-18,  3.077e+02,  2.611e-01,  3.245e+02, -2.471e-01,  2.467e+00,  1.061e-03, -2.499e+00,  7.559e-02,  8.017e-03, -3.356e-06, -7.907e-03,  2.392e-04,
 4.497e+05, -1.593e+00,  1.193e+00, -1.906e+00,  2.032e+00, -1.625e+01,  8.387e-01, -1.800e+01,  4.791e-17,  2.037e+02,  2.267e+02,  2.195e+02, -2.442e+02,  2.446e+00,  1.114e+00, -1.119e-01,  2.235e+00,  8.082e-03, -3.526e-03, -3.540e-04,  7.071e-03,
 4.564e+05, -5.817e-01,  1.401e-01,  5.800e-01,  1.601e-01, -1.706e+01,  1.998e-02, -1.706e+01, -4.405e-17,  3.611e+02,  7.218e+00,  2.764e+02, -5.642e+00,  2.667e+00,  2.487e-02,  2.466e+00,  3.714e-01,  7.383e-03, -7.870e-05,  7.805e-03,  1.175e-03,
 4.631e+05, -1.172e+00, -1.839e+00, -2.355e+00, -9.977e-01, -1.627e+01,  8.415e-01, -1.803e+01,  8.271e-17,  1.838e+02,  2.056e+02,  2.419e+02, -2.706e+02,  2.296e+00,  1.112e+00,  4.052e-01, -2.192e+00,  8.556e-03, -3.521e-03,  1.282e-03, -6.938e-03,
 4.698e+05, -1.181e+00, -2.874e+00,  1.150e+00, -2.789e+00, -1.711e+01,  8.503e-02, -1.712e+01,  4.473e-17,  4.118e+02,  3.510e+01,  2.408e+02, -2.073e+01,  2.834e+00,  1.045e-01, -2.361e+00, -7.425e-01,  6.854e-03, -3.306e-04, -7.473e-03, -2.350e-03,
 4.765e+05, -7.471e-01,  1.402e+00, -2.661e+00,  2.231e+00, -1.633e+01,  8.292e-01, -1.804e+01, -5.518e-17,  1.712e+02,  1.869e+02,  2.668e+02, -2.910e+02,  2.173e+00,  1.085e+00, -6.461e-01,  2.133e+00,  8.945e-03, -3.432e-03, -2.045e-03,  6.750e-03,
 4.832e+05, -1.661e+00,  3.617e-01,  1.529e+00,  5.354e-01, -1.715e+01,  1.737e-01, -1.722e+01, -1.371e-16,  4.493e+02,  7.883e+01,  2.157e+02, -3.808e+01,  2.957e+00,  2.104e-01,  2.223e+00,  1.027e+00,  6.464e-03, -6.658e-04,  7.035e-03,  3.250e-03,
 4.899e+05, -3.714e-01, -1.654e+00, -2.865e+00, -8.432e-01, -1.641e+01,  8.108e-01, -1.803e+01,  5.508e-17,  1.634e+02,  1.719e+02,  2.909e+02, -3.057e+02,  2.079e+00,  1.047e+00,  8.344e-01, -2.069e+00,  9.242e-03, -3.314e-03,  2.640e-03, -6.547e-03,
